ip,common_name,organization,country,locality,province,sandns,sanip,selfsigned
"3.30.138.26","*.lmoc.af.mil","United States Air Force","US","Hill AFB","Utah","*.lmoc.af.mil|lmoc.af.mil","","false"
"3.30.140.238","test.eodims.af.mil","U.S. Government","US","","","search.test.eodims.af.mil|weat.test.eodims.af.mil|tearaway.test.eodims.af.mil|training.test.eodims.af.mil|reports.test.eodims.af.mil|mobile.test.eodims.af.mil|kms.test.eodims.af.mil|geoblast.test.eodims.af.mil|maps.test.eodims.af.mil|analytics.test.eodims.af.mil|jst.test.eodims.af.mil|email.test.eodims.af.mil|interfaces.test.eodims.af.mil|gateway.test.eodims.af.mil|core.test.eodims.af.mil|test.eodims.af.mil","","false"
"3.30.143.203","tcode.mil","U.S. Government","US","","","tcode.mil|*.il5.tcode.mil|*.il4.tcode.mil|*.il2.tcode.mil|*.tcode.mil","","false"
"3.30.149.252","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.153.22","*.cnap.dso.mil","","","","","*.cnap.dso.mil|cnap.dso.mil","","false"
"3.30.153.189","blueuas.diu.mil","Defense Innovation Unit","US","Mountain View","California","blueuas.diu.mil","","false"
"3.30.154.219","dev.eis.army.mil","","","","","dev.eis.army.mil|www.dev.eis.army.mil","","false"
"3.30.157.201","www.nsin.mil","","","","","www.nsin.mil|nsin.mil","","false"
"3.30.157.232","spk408.sec.usace.army.mil","U.S. Government","US","","","spk408.sec.usace.army.mil","","false"
"3.30.160.239","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.162.77","*.hub.highbond.mil","","","","","*.hub.highbond.mil|hub.highbond.mil","","false"
